stock_code,trade_date,open,high,low,close,volume,amount,close_org,close_back
159001.SZ,20220812,100.0,100.001,99.999,100.0,29464.0,294643616.0,100.0,100.0
159003.SZ,20220812,99.999,100.002,99.999,100.002,1387.0,13864986.0,100.002,100.002
159005.SZ,20220812,99.999,100.001,99.999,100.001,170.0,1697598.0,100.001,100.001
159601.SZ,20220812,0.872,0.874,0.865,0.872,6279517.0,545650688.0,0.872,0.872
159602.SZ,20220812,0.8309999991953373,0.8349999991953373,0.8249999991953373,0.8329999991953373,1201324.0,104359600.0,0.872,0.872
159603.SZ,20220812,1.05,1.051,1.04,1.041,117911.0,12333479.0,1.041,1.041
159605.SZ,20220812,0.756,0.762,0.752,0.757,7481714.0,566400896.0,0.757,0.757
159606.SZ,20220812,0.938,0.943,0.936,0.936,173386.0,16286652.0,0.936,0.936
159607.SZ,20220812,0.762,0.767,0.757,0.764,1697798.0,129387504.0,0.764,0.764
159608.SZ,20220812,0.986,1.001,0.98,0.982,105710.0,10444539.0,0.982,0.982
159609.SZ,20220812,1.022,1.023,1.004,1.006,272215.0,27464216.0,1.006,1.006
159610.SZ,20220812,0.88,0.884,0.877,0.881,1140303.0,100541824.0,0.881,0.881
159611.SZ,20220812,0.889,0.904,0.887,0.899,892409.0,80243680.0,0.899,0.899
159612.SZ,20220812,1.055,1.056,1.054,1.055,394172.0,41586448.0,1.055,1.055
159613.SZ,20220812,0.788,0.788,0.778,0.778,36364.0,2843833.0,0.778,0.778
159615.SZ,20220812,0.954,0.959,0.944,0.954,327080.0,31152944.0,0.954,0.954
159616.SZ,20220812,0.996,1.001,0.994,0.998,132901.0,13275981.0,0.998,0.998
159617.SZ,20220812,0.973,0.982,0.971,0.979,63427.0,6209547.0,0.979,0.979
159618.SZ,20220812,1.408,1.409,1.383,1.386,138520.0,19360976.0,1.386,1.386
159619.SZ,20220812,0.889,0.895,0.886,0.891,283918.0,25305334.0,0.891,0.891
159620.SZ,20220812,1.032,1.042,1.028,1.034,84679.0,8778802.0,1.034,1.034
159625.SZ,20220812,1.128,1.14,1.124,1.135,381539.0,43347692.0,1.135,1.135
159628.SZ,20220812,1.055,1.059,1.043,1.044,252768.0,26577566.0,1.044,1.044
159629.SZ,20220812,2.9086115314888192,2.919973295283697,2.880207122001624,2.885888003899063,21447314.0,2193562624.0,1.016,1.016
159632.SZ,20220812,1.045,1.045,1.005,1.044,94885.0,9887749.0,1.044,1.044
159633.SZ,20220812,2.8997003679788382,2.916591826433084,2.879993666448885,2.882808909524593,14863598.0,1532241024.0,1.024,1.024
159635.SZ,20220812,0.96,0.967,0.958,0.963,9653.0,930029.0,0.963,0.963
159636.SZ,20220812,0.4585,0.4585,0.4545,0.4565,285710.0,26075752.0,0.913,0.913
159639.SZ,20220812,0.958,0.963,0.956,0.957,701998.0,67378464.0,0.957,0.957
159640.SZ,20220812,0.967,0.971,0.964,0.966,196613.0,19019760.0,0.966,0.966
159641.SZ,20220812,0.969,0.974,0.967,0.967,445273.0,43234544.0,0.967,0.967
159642.SZ,20220812,0.966,0.972,0.966,0.967,73231.0,7095354.0,0.967,0.967
159647.SZ,20220812,0.969,0.977,0.969,0.975,324013.0,31551258.0,0.975,0.975
159701.SZ,20220812,0.799,0.799,0.788,0.788,101662.0,8051806.0,0.788,0.788
159703.SZ,20220812,1.124,1.124,1.111,1.113,26550.0,2963858.0,1.113,1.113
159706.SZ,20220812,0.829,0.829,0.825,0.828,87563.0,7241933.0,0.828,0.828
159707.SZ,20220812,0.903,0.92,0.9,0.916,351153.0,32048136.0,0.916,0.916
159708.SZ,20220812,0.754,0.763,0.751,0.76,145300.0,11003832.0,0.76,0.76
159709.SZ,20220812,0.834,0.834,0.821,0.821,994.0,82038.0,0.821,0.821
159711.SZ,20220812,0.919,0.93,0.919,0.926,16121.0,1488655.0,0.926,0.926
159712.SZ,20220812,0.875,0.879,0.872,0.876,115064.0,10080163.0,0.876,0.876
159713.SZ,20220812,0.99,1.006,0.982,0.984,400711.0,39896808.0,0.984,0.984
159715.SZ,20220812,0.875,0.888,0.867,0.868,373328.0,32837602.0,0.868,0.868
159716.SZ,20220812,0.816,0.817,0.81,0.81,27123.0,2203124.0,0.81,0.81
159717.SZ,20220812,0.905,0.908,0.904,0.906,3415.0,309412.0,0.906,0.906
159718.SZ,20220812,0.822,0.824,0.813,0.82,28149.0,2304757.0,0.82,0.82
