date,open,high,low,close,adj_close,volume,dividend
2024-03-18,0.996,1.008,0.996,1.007,1.007,631061700,0.0
2024-03-19,1.006,1.007,0.997,0.999,0.999,152981000,0.0
2024-03-20,0.998,1.004,0.996,1.002,1.002,110435300,0.0
2024-03-21,1.003,1.007,1.0,1.0,1.0,122149000,0.0
2024-03-22,0.998,0.999,0.984,0.99,0.99,184269800,0.0
2024-03-25,0.988,0.998,0.988,0.99,0.99,71007300,0.0
2024-03-26,0.99,0.996,0.989,0.995,0.995,95839520,0.0
2024-03-27,0.994,0.995,0.985,0.985,0.985,73501900,0.0
2024-03-28,0.984,0.999,0.982,0.99,0.99,57521770,0.0
2024-03-29,0.991,0.997,0.99,0.994,0.994,46746400,0.0
2024-04-01,0.995,1.014,0.995,1.01,1.01,174038400,0.0
2024-04-02,1.011,1.012,1.005,1.009,1.009,66088960,0.0
2024-04-03,1.008,1.008,1.001,1.006,1.006,59567200,0.0
2024-04-08,1.005,1.005,0.997,0.997,0.997,67639000,0.0
2024-04-09,0.997,1.0,0.992,0.997,0.997,68676800,0.0
2024-04-10,0.993,0.996,0.986,0.988,0.988,68960980,0.0
2024-04-11,0.984,0.992,0.983,0.986,0.986,66167180,0.0
2024-04-12,0.986,0.99,0.975,0.978,0.978,53424000,0.0
2024-04-15,0.977,0.999,0.975,0.997,0.997,66907320,0.0
2024-04-16,0.998,1.0,0.988,0.994,0.994,54874300,0.0
2024-04-17,0.994,1.003,0.989,1.002,1.002,63988730,0.0
2024-04-18,1.001,1.014,1.0,1.004,1.004,104702700,0.0
2024-04-19,1.002,1.004,0.994,0.998,0.998,43997500,0.0
2024-04-22,0.996,1.008,0.996,0.999,0.999,40070920,0.0
2024-04-23,0.998,0.999,0.99,0.991,0.991,27661000,0.0
2024-04-24,0.991,0.996,0.989,0.995,0.995,26719400,0.0
2024-04-25,0.992,1.0,0.989,0.996,0.996,27893800,0.0
2024-04-26,0.996,1.015,0.996,1.013,1.013,93629770,0.0
2024-04-29,1.012,1.032,1.011,1.026,1.026,93106500,0.0
2024-04-30,1.021,1.027,1.017,1.019,1.019,57822750,0.0
2024-05-06,1.025,1.04,1.025,1.038,1.038,44377450,0.0
2024-05-07,1.037,1.041,1.034,1.038,1.038,35579660,0.0
2024-05-08,1.035,1.038,1.027,1.029,1.029,26831130,0.0
2024-05-09,1.028,1.04,1.028,1.037,1.037,36112240,0.0
2024-05-10,1.037,1.043,1.033,1.037,1.037,18423710,0.0
2024-05-13,1.033,1.038,1.029,1.036,1.036,36016150,0.0
2024-05-14,1.036,1.039,1.029,1.031,1.031,24190600,0.0
2024-05-15,1.031,1.033,1.024,1.024,1.024,31466900,0.0
2024-05-16,1.024,1.034,1.023,1.028,1.028,49802900,0.0
2024-05-17,1.028,1.044,1.027,1.043,1.043,43070100,0.0
2024-05-20,1.042,1.051,1.041,1.044,1.044,33156180,0.0
2024-05-21,1.041,1.044,1.037,1.04,1.04,21934300,0.0
2024-05-22,1.038,1.043,1.037,1.041,1.041,31103500,0.0
2024-05-23,1.034,1.036,1.027,1.03,1.03,41161070,0.0
2024-05-24,1.029,1.032,1.017,1.02,1.02,55648500,0.0
2024-05-27,1.019,1.027,1.019,1.026,1.026,40856100,0.0
2024-05-28,1.026,1.026,1.018,1.02,1.02,25865220,0.0
2024-05-29,1.022,1.028,1.019,1.022,1.022,24996200,0.0
2024-05-30,1.022,1.026,1.014,1.017,1.017,24936400,0.0
2024-05-31,1.02,1.023,1.012,1.013,1.013,15978600,0.0
2024-06-03,1.011,1.018,1.007,1.014,1.014,34295630,0.0
2024-06-04,1.016,1.026,1.015,1.024,1.024,31511500,0.0
2024-06-05,1.023,1.027,1.019,1.02,1.02,18779810,0.0
2024-06-06,1.019,1.029,1.018,1.019,1.019,24786800,0.0
2024-06-07,1.02,1.022,1.005,1.011,1.011,25265000,0.0
2024-06-11,1.013,1.013,0.998,1.003,1.003,30798500,0.0
2024-06-12,1.004,1.004,1.0,1.002,1.002,21829200,0.0
2024-06-13,1.002,1.003,0.994,0.997,0.997,19773400,0.0
2024-06-14,0.997,1.003,0.989,1.001,1.001,59901800,0.0
2024-06-17,1.0,1.001,0.994,0.997,0.997,31179100,0.0
2024-06-18,0.997,1.0,0.995,0.998,0.998,23885100,0.0
2024-06-19,0.998,0.998,0.994,0.995,0.995,44704800,0.0
2024-06-20,0.994,0.997,0.988,0.988,0.988,35443100,0.0
2024-06-21,0.99,0.99,0.979,0.986,0.986,38546900,0.0
2024-06-24,0.981,0.992,0.979,0.985,0.985,39583500,0.0
2024-06-25,0.986,0.988,0.976,0.981,0.981,28608300,0.0
2024-06-26,0.98,0.988,0.977,0.985,0.985,24184600,0.0
2024-06-27,0.985,0.985,0.979,0.982,0.982,18199970,0.0
2024-06-28,0.982,0.989,0.98,0.983,0.983,22134300,0.0
2024-07-01,0.982,0.983,0.973,0.982,0.982,25709300,0.0
2024-07-02,0.978,0.985,0.978,0.981,0.981,19762400,0.0
2024-07-03,0.982,0.985,0.978,0.983,0.983,28740100,0.0
2024-07-04,0.985,0.991,0.981,0.982,0.982,21852100,0.0
2024-07-05,0.98,0.984,0.968,0.977,0.977,43065500,0.0
2024-07-08,0.972,0.976,0.967,0.97,0.97,28675100,0.0
2024-07-09,0.967,0.98,0.964,0.976,0.976,24793000,0.0
2024-07-10,0.977,0.983,0.975,0.975,0.975,20509500,0.0
2024-07-11,0.982,0.992,0.98,0.989,0.989,33920200,0.0
2024-07-12,0.991,0.997,0.99,0.995,0.995,19994000,0.0
2024-07-15,0.996,0.996,0.99,0.993,0.993,19685700,0.0
2024-07-16,0.992,0.998,0.989,0.997,0.997,49549800,0.0
2024-07-17,0.997,1.003,0.994,1.002,1.002,29211700,0.0
2024-07-18,1.0,1.011,0.999,1.009,1.009,70128000,0.0
2024-07-19,1.006,1.018,1.002,1.017,1.017,40939670,0.0
2024-07-22,1.015,1.018,1.005,1.011,1.011,18321370,0.0
2024-07-23,1.001,1.01,0.978,0.989,0.989,13347000,0.0
2024-07-24,0.991,0.992,0.977,0.981,0.981,23312000,0.0
2024-07-25,0.975,0.982,0.972,0.976,0.976,18004100,0.0
2024-07-26,0.979,0.985,0.974,0.98,0.98,17890800,0.0
2024-07-29,0.976,0.978,0.971,0.972,0.972,26206300,0.0
2024-07-30,0.969,0.969,0.961,0.964,0.964,30066100,0.0
2024-07-31,0.963,0.988,0.963,0.987,0.987,20368500,0.0
2024-08-01,0.986,0.988,0.977,0.978,0.978,29186200,0.0
2024-08-02,0.973,0.977,0.966,0.966,0.966,48828400,0.0
2024-08-05,0.967,0.976,0.958,0.961,0.961,59138800,0.0
2024-08-06,0.96,0.969,0.949,0.956,0.956,28971300,0.0
2024-08-07,0.956,0.96,0.952,0.953,0.953,17145900,0.0
2024-08-08,0.95,0.962,0.949,0.956,0.956,32870800,0.0
2024-08-09,0.961,0.964,0.953,0.953,0.953,37892000,0.0
2024-08-12,0.951,0.954,0.95,0.951,0.951,26016000,0.0
2024-08-13,0.951,0.952,0.946,0.951,0.951,28934300,0.0
2024-08-14,0.95,0.95,0.943,0.943,0.943,13334400,0.0
2024-08-15,0.943,0.958,0.943,0.954,0.954,49345600,0.0
2024-08-16,0.953,0.959,0.952,0.956,0.956,32670700,0.0
2024-08-19,0.961,0.967,0.957,0.958,0.958,21134300,0.0
2024-08-20,0.957,0.957,0.95,0.953,0.953,39138900,0.0
2024-08-21,0.951,0.955,0.946,0.951,0.951,30017900,0.0
2024-08-22,0.948,0.952,0.947,0.95,0.95,24835200,0.0
2024-08-23,0.951,0.959,0.949,0.957,0.957,40063200,0.0
2024-08-26,0.96,0.96,0.952,0.957,0.957,21003700,0.0
2024-08-28,0.952,0.954,0.945,0.947,0.947,27022900,0.0
2024-08-29,0.945,0.951,0.945,0.95,0.95,17981600,0.0
