date,open,high,low,close,adj_close,volume,dividend
2026-01-15,1.959,2.108,1.959,2.096,2.096,124478900,0.0
2026-01-16,2.146,2.188,2.109,2.164,2.164,175235300,0.0
2026-01-19,2.174,2.208,2.133,2.153,2.153,143977600,0.0
2026-01-20,2.131,2.166,2.108,2.136,2.136,127864100,0.0
2026-01-21,2.103,2.182,2.103,2.148,2.148,120870800,0.0
2026-01-22,2.18,2.18,2.078,2.095,2.095,130997900,0.0
2026-01-23,2.087,2.145,2.06,2.143,2.143,123989400,0.0
2026-01-26,2.138,2.139,2.04,2.055,2.055,138489300,0.0
2026-01-27,2.037,2.118,2.037,2.097,2.097,123217100,0.0
2026-01-28,2.101,2.137,2.081,2.124,2.124,87755400,0.0
2026-01-29,2.111,2.111,2.027,2.032,2.032,123185900,0.0
2026-01-30,2.023,2.052,1.976,2.028,2.028,91585260,0.0
2026-02-02,1.998,2.016,1.92,1.924,1.924,84093830,0.0
2026-02-03,1.954,1.988,1.942,1.985,1.985,93358100,0.0
2026-02-04,1.965,2.0,1.95,1.979,1.979,49422730,0.0
2026-02-05,1.936,2.0,1.913,1.982,1.982,60611000,0.0
2026-02-06,1.952,1.998,1.946,1.967,1.967,47661000,0.0
2026-02-09,2.0,2.025,1.986,2.012,2.012,60204600,0.0
2026-02-10,2.007,2.028,1.993,2.007,2.007,52605000,0.0
2026-02-11,2.0,2.01,1.98,1.989,1.989,47399900,0.0
2026-02-12,1.987,2.012,1.975,1.998,1.998,52059600,0.0
2026-02-13,1.982,2.05,1.982,2.017,2.017,82778900,0.0
2026-02-24,2.034,2.044,1.977,2.032,2.032,69585100,0.0
