date,open,high,low,close,adj_close,volume,dividend
2026-01-15,1.25,1.251,1.243,1.247,1.247,37124990,0.0
2026-01-16,1.271,1.277,1.245,1.248,1.248,70914700,0.0
2026-01-19,1.242,1.269,1.242,1.264,1.264,96215200,0.0
2026-01-20,1.265,1.278,1.26,1.277,1.277,88146200,0.0
2026-01-21,1.278,1.28,1.262,1.265,1.265,74576600,0.0
2026-01-22,1.265,1.269,1.26,1.264,1.264,45180640,0.0
2026-01-23,1.266,1.273,1.265,1.27,1.27,47963600,0.0
2026-01-26,1.27,1.276,1.262,1.272,1.272,87607600,0.0
2026-01-27,1.273,1.273,1.246,1.257,1.257,45518230,0.0
2026-01-28,1.252,1.259,1.246,1.254,1.254,45592500,0.0
2026-01-29,1.253,1.253,1.242,1.251,1.251,37939630,0.0
2026-01-30,1.248,1.251,1.23,1.245,1.245,39691130,0.0
2026-02-02,1.245,1.256,1.23,1.233,1.233,43460150,0.0
2026-02-03,1.233,1.242,1.228,1.24,1.24,28791800,0.0
2026-02-04,1.239,1.257,1.236,1.256,1.256,48259600,0.0
2026-02-05,1.257,1.258,1.236,1.242,1.242,29131200,0.0
2026-02-06,1.235,1.25,1.234,1.245,1.245,24935400,0.0
2026-02-09,1.251,1.257,1.249,1.253,1.253,29344400,0.0
2026-02-10,1.253,1.253,1.243,1.246,1.246,21052700,0.0
2026-02-11,1.248,1.252,1.246,1.248,1.248,20338200,0.0
2026-02-12,1.254,1.26,1.248,1.258,1.258,35489500,0.0
2026-02-13,1.257,1.257,1.241,1.243,1.243,37580500,0.0
2026-02-24,1.248,1.267,1.248,1.266,1.266,44968500,0.0
