date,open,high,low,close,adj_close,volume,dividend
2025-10-09,1.432,1.458,1.421,1.433,1.433,215269500,0.0
2025-10-10,1.419,1.419,1.354,1.364,1.364,371061400,0.0
2025-10-13,1.31,1.378,1.305,1.372,1.372,289120000,0.0
2025-10-14,1.377,1.396,1.31,1.32,1.32,431115900,0.0
2025-10-15,1.321,1.348,1.303,1.346,1.346,212518400,0.0
2025-10-16,1.342,1.354,1.326,1.331,1.331,179780600,0.0
2025-10-17,1.331,1.332,1.274,1.276,1.276,266145500,0.0
2025-10-20,1.296,1.314,1.278,1.287,1.287,152482400,0.0
2025-10-21,1.293,1.318,1.29,1.314,1.314,186419300,0.0
2025-10-22,1.307,1.318,1.292,1.303,1.303,156676600,0.0
2025-10-23,1.3,1.301,1.273,1.298,1.298,144372500,0.0
2025-10-24,1.308,1.338,1.305,1.338,1.338,198830800,0.0
2025-10-27,1.353,1.364,1.335,1.355,1.355,147367100,0.0
2025-10-28,1.35,1.365,1.34,1.35,1.35,133283000,0.0
2025-10-29,1.345,1.365,1.344,1.364,1.364,96301600,0.0
2025-10-30,1.362,1.375,1.349,1.351,1.351,166324200,0.0
2025-10-31,1.353,1.373,1.342,1.352,1.352,180679000,0.0
2025-11-03,1.347,1.347,1.313,1.341,1.341,267680300,0.0
2025-11-04,1.341,1.342,1.306,1.315,1.315,143105000,0.0
2025-11-05,1.29,1.318,1.288,1.31,1.31,129332300,0.0
2025-11-06,1.312,1.342,1.312,1.34,1.34,108519500,0.0
2025-11-07,1.333,1.342,1.316,1.331,1.331,96389600,0.0
2025-11-10,1.329,1.343,1.303,1.32,1.32,113413600,0.0
2025-11-11,1.33,1.338,1.303,1.307,1.307,190408300,0.0
2025-11-12,1.297,1.307,1.281,1.295,1.295,235549700,0.0
2025-11-14,1.305,1.324,1.296,1.301,1.301,91412410,0.0
2025-11-17,1.301,1.317,1.298,1.307,1.307,182326100,0.0
2025-11-18,1.3,1.323,1.297,1.304,1.304,121879100,0.0
2025-11-19,1.302,1.313,1.285,1.29,1.29,70518400,0.0
2025-11-20,1.297,1.305,1.276,1.278,1.278,59326400,0.0
2025-11-21,1.259,1.268,1.225,1.227,1.227,149512700,0.0
2025-11-24,1.23,1.253,1.219,1.244,1.244,128858400,0.0
2025-11-25,1.254,1.279,1.251,1.26,1.26,159320000,0.0
2025-11-26,1.254,1.286,1.253,1.277,1.277,103990100,0.0
2025-11-27,1.276,1.302,1.276,1.283,1.283,71515250,0.0
2025-11-28,1.28,1.299,1.275,1.297,1.297,137539000,0.0
2025-12-01,1.299,1.3,1.282,1.297,1.297,60797210,0.0
2025-12-02,1.297,1.298,1.275,1.277,1.277,52452500,0.0
2025-12-03,1.278,1.284,1.26,1.267,1.267,67184280,0.0
2025-12-04,1.267,1.288,1.259,1.286,1.286,94608540,0.0
2025-12-05,1.282,1.3,1.268,1.299,1.299,105515000,0.0
