date,open,high,low,close,adj_close,volume,dividend
2025-08-29,1.02,1.02,1.005,1.012,1.012,321077900,0.0
2025-09-01,1.019,1.035,1.013,1.029,1.029,238892400,0.0
2025-09-02,1.028,1.036,1.004,1.007,1.007,71795100,0.0
2025-09-03,1.007,1.01,0.995,1.0,1.0,25183400,0.0
2025-09-04,0.998,1.0,0.938,0.949,0.949,29661300,0.0
2025-09-05,0.951,0.984,0.95,0.981,0.981,19446700,0.0
2025-09-08,0.981,1.0,0.973,0.993,0.993,25602500,0.0
2025-09-09,0.992,1.0,0.981,0.986,0.986,11813000,0.0
2025-09-10,0.986,0.994,0.973,0.983,0.983,15940900,0.0
2025-09-11,0.982,1.022,0.967,1.018,1.018,118974100,0.0
2025-09-12,1.018,1.035,1.011,1.02,1.02,111252300,0.0
2025-09-15,1.03,1.037,1.02,1.024,1.024,67724600,0.0
2025-09-16,1.026,1.038,1.025,1.034,1.034,66152500,0.0
2025-09-17,1.034,1.048,1.029,1.043,1.043,53315800,0.0
2025-09-18,1.045,1.077,1.036,1.047,1.047,58039500,0.0
2025-09-19,1.041,1.058,1.031,1.037,1.037,16152800,0.0
2025-09-22,1.037,1.056,1.031,1.053,1.053,16554700,0.0
2025-09-23,1.053,1.059,1.02,1.046,1.046,12290700,0.0
2025-09-24,1.046,1.079,1.034,1.073,1.073,34324200,0.0
2025-09-25,1.077,1.09,1.073,1.081,1.081,22417000,0.0
2025-09-26,1.081,1.083,1.061,1.063,1.063,10209100,0.0
2025-09-29,1.061,1.073,1.05,1.072,1.072,9330100,0.0
2025-09-30,1.078,1.093,1.075,1.085,1.085,9378900,0.0
2025-10-09,1.087,1.123,1.087,1.105,1.105,19115800,0.0
2025-10-10,1.105,1.105,1.055,1.063,1.063,11263900,0.0
2025-10-13,1.05,1.077,1.036,1.075,1.075,14044900,0.0
2025-10-14,1.079,1.079,1.027,1.042,1.042,14606000,0.0
2025-10-15,1.038,1.045,1.017,1.043,1.043,6201300,0.0
2025-10-16,1.043,1.051,1.034,1.036,1.036,6287000,0.0
2025-10-17,1.037,1.037,1.006,1.006,1.006,9382000,0.0
2025-10-20,1.013,1.025,1.004,1.009,1.009,7210900,0.0
2025-10-21,1.018,1.037,1.011,1.034,1.034,10099600,0.0
2025-10-22,1.034,1.041,1.021,1.03,1.03,8152100,0.0
2025-10-23,1.022,1.039,1.008,1.022,1.022,6470200,0.0
2025-10-24,1.032,1.06,1.032,1.056,1.056,14555200,0.0
2025-10-27,1.064,1.076,1.056,1.07,1.07,13328400,0.0
2025-10-28,1.066,1.077,1.041,1.064,1.064,11974700,0.0
2025-10-29,1.062,1.073,1.056,1.07,1.07,11810900,0.0
2025-10-30,1.07,1.074,1.057,1.06,1.06,11633300,0.0
2025-10-31,1.06,1.07,1.052,1.057,1.057,7330600,0.0
2025-11-03,1.057,1.057,1.034,1.052,1.052,9567500,0.0
2025-11-04,1.047,1.052,1.028,1.034,1.034,9157500,0.0
2025-11-05,1.022,1.039,1.016,1.035,1.035,9541100,0.0
2025-11-06,1.044,1.059,1.036,1.057,1.057,12810900,0.0
2025-11-07,1.054,1.058,1.044,1.05,1.05,11493300,0.0
