date,open,high,low,close,adj_close,volume,dividend
2025-07-16,1.0,1.0,1.0,1.0,1.0,0,0.0
2025-07-18,1.0004,1.0004,1.0004,1.0004,1.0004,0,0.0
2025-07-24,1.0202,1.0202,1.0202,1.0202,1.0202,0,0.0
2025-07-25,1.014,1.018,1.007,1.01,1.01,226047400,0.0
2025-07-28,1.009,1.009,0.998,1.004,1.004,42083500,0.0
2025-07-29,1.003,1.004,0.998,1.002,1.002,26471800,0.0
2025-07-30,1.004,1.017,1.003,1.007,1.007,73038700,0.0
2025-07-31,1.006,1.006,0.981,0.986,0.986,22683200,0.0
2025-08-01,0.987,0.99,0.982,0.986,0.986,7792100,0.0
2025-08-04,0.986,0.988,0.98,0.987,0.987,13126900,0.0
2025-08-05,0.987,0.995,0.987,0.995,0.995,10355300,0.0
2025-08-06,0.997,1.003,0.996,1.001,1.001,18674700,0.0
2025-08-07,1.0,1.007,0.997,1.006,1.006,21790700,0.0
2025-08-08,1.001,1.016,1.001,1.012,1.012,42654300,0.0
2025-08-11,1.012,1.016,1.006,1.011,1.011,16827800,0.0
2025-08-12,1.011,1.021,1.011,1.016,1.016,38495300,0.0
2025-08-13,1.015,1.026,1.015,1.019,1.019,46590000,0.0
2025-08-14,1.019,1.027,1.015,1.015,1.015,16834700,0.0
2025-08-15,1.013,1.029,1.013,1.024,1.024,21920700,0.0
2025-08-18,1.024,1.031,1.022,1.024,1.024,16874200,0.0
2025-08-19,1.024,1.029,1.02,1.02,1.02,14795900,0.0
2025-08-20,1.02,1.033,1.015,1.032,1.032,18023400,0.0
2025-08-21,1.032,1.043,1.032,1.039,1.039,13248500,0.0
2025-08-22,1.035,1.042,1.033,1.039,1.039,6872000,0.0
2025-08-25,1.04,1.068,1.04,1.066,1.066,22031400,0.0
2025-08-26,1.063,1.085,1.056,1.076,1.076,10184900,0.0
2025-08-27,1.075,1.081,1.058,1.059,1.059,29962900,0.0
2025-08-28,1.058,1.071,1.044,1.058,1.058,27091100,0.0
2025-08-29,1.058,1.069,1.058,1.06,1.06,22868300,0.0
2025-09-01,1.06,1.076,1.056,1.065,1.065,26090000,0.0
2025-09-02,1.065,1.08,1.059,1.067,1.067,26669600,0.0
2025-09-03,1.06,1.097,1.051,1.057,1.057,66089700,0.0
2025-09-04,1.052,1.065,1.026,1.032,1.032,28345400,0.0
2025-09-05,1.037,1.064,1.032,1.055,1.055,13032800,0.0
2025-09-08,1.055,1.063,1.052,1.058,1.058,13767400,0.0
2025-09-09,1.057,1.068,1.053,1.056,1.056,14451200,0.0
2025-09-10,1.06,1.06,1.046,1.058,1.058,13157000,0.0
2025-09-11,1.053,1.068,1.053,1.065,1.065,13074600,0.0
2025-09-12,1.06,1.079,1.06,1.07,1.07,5933700,0.0
2025-09-15,1.067,1.071,1.066,1.069,1.069,10838000,0.0
2025-09-16,1.068,1.07,1.053,1.06,1.06,15499500,0.0
2025-09-17,1.06,1.066,1.056,1.063,1.063,10983900,0.0
2025-09-18,1.062,1.062,1.04,1.047,1.047,7936100,0.0
2025-09-19,1.048,1.055,1.047,1.053,1.053,11612800,0.0
2025-09-22,1.048,1.048,1.037,1.041,1.041,9472400,0.0
2025-09-23,1.04,1.044,1.027,1.036,1.036,12285000,0.0
2025-09-24,1.036,1.047,1.034,1.046,1.046,9827000,0.0
2025-09-25,1.046,1.05,1.043,1.05,1.05,11389000,0.0
2025-09-26,1.04,1.055,1.04,1.05,1.05,12026300,0.0
2025-09-29,1.05,1.06,1.041,1.059,1.059,9744300,0.0
2025-09-30,1.061,1.065,1.056,1.064,1.064,7985700,0.0
