stock_code,trade_date,open,high,low,close,volume,amount,close_org,close_back
159280.SZ,20250819,1.037,1.051,1.037,1.043,1098741.0,114653600.0,1.043,1.043
159280.SZ,20250820,1.034,1.034,1.013,1.029,753373.0,77034392.0,1.029,1.029
159280.SZ,20250821,1.028,1.03,1.017,1.019,419081.0,42933408.0,1.019,1.019
159280.SZ,20250822,1.019,1.034,1.019,1.031,350028.0,36064284.0,1.031,1.031
159280.SZ,20250825,1.049,1.067,1.044,1.062,582874.0,61646380.0,1.062,1.062
159280.SZ,20250826,1.058,1.066,1.053,1.056,294049.0,31153468.0,1.056,1.056
159280.SZ,20250827,1.058,1.069,1.04,1.04,400351.0,42421568.0,1.04,1.04
159280.SZ,20250828,1.034,1.034,1.008,1.024,355053.0,36297976.0,1.024,1.024
159280.SZ,20250829,1.029,1.032,1.017,1.03,252309.0,25886358.0,1.03,1.03
159280.SZ,20250901,1.055,1.063,1.041,1.052,323220.0,34000664.0,1.052,1.052
159280.SZ,20250902,1.055,1.056,1.035,1.045,245398.0,25662574.0,1.045,1.045
159280.SZ,20250903,1.05,1.058,1.039,1.042,197769.0,20707140.0,1.042,1.042
159280.SZ,20250904,1.047,1.05,1.02,1.026,156304.0,16151381.0,1.026,1.026
159280.SZ,20250905,1.027,1.04,1.024,1.039,147274.0,15178973.0,1.039,1.039
159280.SZ,20250908,1.04,1.05,1.035,1.049,166125.0,17323362.0,1.049,1.049
159280.SZ,20250909,1.047,1.065,1.047,1.062,265551.0,28119412.0,1.062,1.062
159280.SZ,20250910,1.071,1.093,1.071,1.079,281333.0,30497992.0,1.079,1.079
159280.SZ,20250911,1.079,1.084,1.06,1.082,113275.0,12179959.0,1.082,1.082
159280.SZ,20250912,1.094,1.109,1.094,1.1,220629.0,24362710.0,1.1,1.1
159280.SZ,20250915,1.1,1.111,1.097,1.101,143288.0,15857241.0,1.101,1.101
159280.SZ,20250916,1.106,1.113,1.093,1.104,123345.0,13593147.0,1.104,1.104
159280.SZ,20250917,1.106,1.148,1.106,1.147,317304.0,35883232.0,1.147,1.147
159280.SZ,20250918,1.148,1.158,1.112,1.123,280138.0,32018742.0,1.123,1.123
159280.SZ,20250919,1.133,1.147,1.122,1.131,238908.0,27117800.0,1.131,1.131
159280.SZ,20250922,1.131,1.141,1.123,1.131,103266.0,11680177.0,1.131,1.131
159280.SZ,20250923,1.13,1.136,1.105,1.116,103202.0,11552939.0,1.116,1.116
159280.SZ,20250924,1.109,1.146,1.108,1.145,125522.0,14195395.0,1.145,1.145
159280.SZ,20250925,1.15,1.165,1.145,1.153,168310.0,19467484.0,1.153,1.153
159280.SZ,20250926,1.146,1.147,1.126,1.126,108732.0,12330672.0,1.126,1.126
159280.SZ,20250929,1.123,1.139,1.119,1.139,184144.0,20845412.0,1.139,1.139
159280.SZ,20250930,1.143,1.155,1.136,1.155,151852.0,17384940.0,1.155,1.155
159280.SZ,20251009,1.163,1.163,1.134,1.144,180388.0,20747136.0,1.144,1.144
159280.SZ,20251010,1.14,1.14,1.105,1.105,88714.0,9933825.0,1.105,1.105
159280.SZ,20251013,1.084,1.098,1.057,1.077,189296.0,20459540.0,1.077,1.077
159280.SZ,20251014,1.093,1.097,1.046,1.05,140242.0,15023234.0,1.05,1.05
159280.SZ,20251015,1.061,1.079,1.053,1.078,109153.0,11677912.0,1.078,1.078
159280.SZ,20251016,1.075,1.08,1.056,1.064,56699.0,6055162.0,1.064,1.064
159280.SZ,20251017,1.065,1.065,1.026,1.027,110890.0,11530395.0,1.027,1.027
159280.SZ,20251020,1.05,1.059,1.047,1.05,95812.0,10080957.0,1.05,1.05
159280.SZ,20251021,1.068,1.083,1.065,1.074,118200.0,12716535.0,1.074,1.074
159280.SZ,20251022,1.061,1.061,1.047,1.053,85261.0,8971428.0,1.053,1.053
159280.SZ,20251023,1.045,1.062,1.033,1.06,104640.0,10927970.0,1.06,1.06
159280.SZ,20251024,1.074,1.074,1.061,1.067,52769.0,5629302.0,1.067,1.067
159280.SZ,20251027,1.083,1.089,1.075,1.088,93027.0,10057953.0,1.088,1.088
159280.SZ,20251028,1.089,1.09,1.074,1.077,119112.0,12877538.0,1.077,1.077
159280.SZ,20251029,1.086,1.087,1.079,1.084,79103.0,8550730.0,1.084,1.084
159280.SZ,20251030,1.087,1.087,1.064,1.064,219595.0,23614608.0,1.064,1.064
159280.SZ,20251031,1.066,1.074,1.057,1.058,89942.0,9581549.0,1.058,1.058
159280.SZ,20251103,1.059,1.067,1.052,1.066,53512.0,5676470.0,1.066,1.066
159280.SZ,20251104,1.064,1.066,1.038,1.046,81172.0,8522857.0,1.046,1.046
159280.SZ,20251105,1.039,1.046,1.015,1.033,91905.0,9424569.0,1.033,1.033
159280.SZ,20251106,1.039,1.048,1.034,1.047,55459.0,5779679.0,1.047,1.047
159280.SZ,20251107,1.038,1.041,1.022,1.024,93779.0,9652239.0,1.024,1.024
159280.SZ,20251110,1.028,1.042,1.028,1.042,60245.0,6235491.0,1.042,1.042
159280.SZ,20251111,1.042,1.046,1.029,1.035,41440.0,4296843.0,1.035,1.035
159280.SZ,20251112,1.036,1.046,1.031,1.039,70033.0,7270289.0,1.039,1.039
