date,open,high,low,close,preclose,volume,amount,turn,pctChg,divident
2015-12-30,4931.792,4936.101,4857.435,4931.494,4936.522,2194534096,30666806272.0,0.001978,-0.1018,0.0
2015-12-31,4918.504,4943.385,4877.612,4911.127,4931.494,2317707296,29706139136.0,0.002089,-0.413,0.0
2016-01-04,4891.429,4891.429,4618.426,4619.403,4911.127,2432858000,29704978944.0,0.002193,-5.9401,0.0
2016-01-05,4539.683,4695.789,4526.882,4655.171,4619.403,3265443808,39200164864.0,0.002944,0.7743,0.0
2016-01-06,4640.938,4705.559,4610.522,4696.283,4655.171,2373763696,29670528512.0,0.00214,0.8832,0.0
2016-01-07,4613.246,4619.817,4429.001,4444.807,4696.283,798506304,9362694400.0,0.000718,-5.3548,0.0
2016-01-08,4524.514,4600.69,4385.924,4514.633,4444.807,3834608800,45263014144.0,0.003443,1.5709,0.0
2016-01-11,4425.966,4451.595,4291.008,4292.289,4514.633,3479987104,39727424768.0,0.003125,-4.925,0.0
2016-01-12,4327.694,4368.441,4295.763,4318.122,4292.289,2626896208,30737950720.0,0.002359,0.6018,0.0
2016-01-13,4363.762,4363.762,4273.323,4277.195,4318.122,2533493504,30031853312.0,0.002275,-0.9478,0.0
2016-01-14,4172.654,4329.917,4165.083,4320.448,4277.195,2847067200,30578018560.0,0.002557,1.0113,0.0
2016-01-15,4294.119,4316.641,4191.104,4218.761,4320.448,2417215104,27023786752.0,0.002171,-2.3536,0.0
2016-01-18,4155.475,4257.845,4152.609,4212.872,4218.761,1984448304,20613989376.0,0.001782,-0.1396,0.0
2016-01-19,4224.535,4308.11,4185.573,4294.275,4212.872,2410733600,27649412096.0,0.002165,1.9322,0.0
2016-01-20,4268.001,4283.144,4194.472,4221.099,4294.275,2334415904,27037725440.0,0.002096,-1.704,0.0
2016-01-21,4190.443,4280.97,4128.256,4130.404,4221.099,2334068608,24720436480.0,0.002096,-2.1486,0.0
2016-01-22,4173.307,4187.674,4102.215,4165.93,4130.404,1727733600,18503326208.0,0.001551,0.8601,0.0
2016-01-25,4173.265,4188.488,4139.156,4174.289,4165.93,1558476000,15553342464.0,0.001398,0.2006,0.0
2016-01-26,4135.84,4145.106,3940.98,3955.511,4174.289,2599680704,26345898240.0,0.002333,-5.2411,0.0
2016-01-27,3971.349,3997.017,3877.057,3949.479,3955.511,2827948304,26978271744.0,0.002537,-0.1525,0.0
2016-01-28,3935.294,3980.037,3865.502,3898.34,3949.479,2071401296,20381938432.0,0.001858,-1.2948,0.0
2016-01-29,3903.387,4048.021,3898.094,4021.726,3898.34,2776507008,27740986368.0,0.002491,3.1651,0.0
2016-02-01,4013.335,4020.237,3914.96,3953.413,4021.726,1963399104,19310819072.0,0.001762,-1.6986,0.0
2016-02-02,3947.825,4035.445,3946.392,4011.839,3953.413,1824108304,18441136640.0,0.001637,1.4779,0.0
2016-02-03,3967.354,3980.774,3934.295,3975.392,4011.839,1624982000,15521170688.0,0.001458,-0.9085,0.0
2016-02-04,3998.107,4043.66,3993.58,4025.964,3975.392,1829824608,18886381568.0,0.001642,1.2721,0.0
2016-02-05,4010.079,4021.838,3991.25,4002.676,4025.964,1597556800,17026241792.0,0.001433,-0.5784,0.0
2016-02-15,3898.154,3984.54,3894.42,3963.385,4002.676,1408255104,13988670464.0,0.001263,-0.9816,0.0
2016-02-16,3984.714,4078.907,3983.715,4070.85,3963.385,2119763808,21123323648.0,0.001902,2.7114,0.0
2016-02-17,4064.371,4095.899,4052.898,4085.926,4070.85,2050568304,20765195520.0,0.00184,0.3703,0.0
2016-02-18,4105.371,4140.275,4075.472,4080.543,4085.926,2266704896,23565613312.0,0.002034,-0.1317,0.0
2016-02-19,4071.319,4090.664,4048.146,4071.184,4080.543,1594196496,15524984576.0,0.00143,-0.2294,0.0
2016-02-22,4112.77,4200.831,4084.109,4174.744,4071.184,2845919200,30383338496.0,0.002553,2.5437,0.0
2016-02-23,4168.012,4168.012,4083.098,4114.925,4174.744,1884591408,19532201984.0,0.001691,-1.4329,0.0
2016-02-24,4097.648,4130.329,4067.466,4127.972,4114.925,1628500304,17074983680.0,0.001461,0.3171,0.0
2016-02-25,4121.052,4121.268,3915.819,3927.605,4127.972,2986934496,27864854784.0,0.00268,-4.8539,0.0
2016-02-26,3955.443,3991.514,3922.205,3969.735,3927.605,1929734000,17853115904.0,0.001731,1.0727,0.0
2016-02-29,3953.914,3956.626,3833.087,3947.83,3969.735,2940214896,25899914496.0,0.002637,-0.5518,0.0
2016-03-01,3943.577,4044.874,3915.203,4001.637,3947.83,2268792400,22788927744.0,0.002035,1.3629,0.0
2016-03-02,4016.211,4134.133,4010.59,4129.609,4001.637,3434466096,34203983104.0,0.00308,3.198,0.0
2016-03-03,4123.425,4155.136,4103.369,4152.633,4129.609,2981124608,29588642304.0,0.002674,0.5575,0.0
2016-03-04,4134.634,4308.054,4120.964,4290.929,4152.633,6168119296,57743374592.0,0.005532,3.3303,0.0
2016-03-07,4283.716,4303.578,4243.243,4256.256,4290.929,2689760208,27340712704.0,0.002412,-0.8081,0.0
2016-03-08,4243.761,4290.096,4118.298,4283.349,4256.256,2732698896,26489316096.0,0.002451,0.6366,0.0
