date,open,high,low,close,preclose,volume,amount,turn,pctChg,divident
2015-12-30,6335.296,6360.285,6284.603,6333.541,6327.705,2186607904,42014180608.0,0.011075,0.0922,0.0
2015-12-31,6340.039,6353.077,6271.154,6273.105,6333.541,1977536208,39970020352.0,0.010016,-0.9542,0.0
2016-01-04,6262.53,6263.3,5775.673,5775.673,6273.105,2267779792,40639795200.0,0.011486,-7.9296,0.0
2016-01-05,5603.316,5866.579,5586.356,5771.855,5775.673,3234566768,56527277312.0,0.016382,-0.0661,0.0
2016-01-06,5797.154,5867.511,5742.008,5865.207,5771.855,2337104384,41092917504.0,0.011837,1.6174,0.0
2016-01-07,5769.529,5769.53,5400.283,5414.137,5865.207,693652256,11466529280.0,0.003513,-7.6906,0.0
2016-01-08,5552.004,5609.713,5287.999,5520.53,5414.137,3010779824,50471505408.0,0.015249,1.9651,0.0
2016-01-11,5425.137,5490.086,5206.15,5208.589,5520.53,2755175312,44642882816.0,0.013948,-5.6506,0.0
2016-01-12,5243.227,5298.53,5162.69,5244.961,5208.589,2133374704,35339268864.0,0.0108,0.6983,0.0
2016-01-13,5285.027,5330.221,5119.664,5119.872,5244.961,1957168672,32197588480.0,0.009908,-2.3849,0.0
2016-01-14,4992.62,5274.09,4987.217,5264.26,5119.872,2415939184,37555291136.0,0.012231,2.8201,0.0
2016-01-15,5230.479,5260.986,5060.497,5088.989,5264.26,2180116832,33411779328.0,0.011037,-3.3295,0.0
2016-01-18,5001.405,5186.627,5001.405,5128.474,5088.989,2004278368,30895232000.0,0.010147,0.7759,0.0
2016-01-19,5127.884,5314.835,5119.798,5308.496,5128.474,2448261024,38426824960.0,0.012393,3.5102,0.0
2016-01-20,5281.253,5321.062,5177.883,5211.146,5308.496,2442996448,38010714880.0,0.012364,-1.8339,0.0
2016-01-21,5144.497,5260.047,5053.51,5053.645,5211.146,2052422336,32484801792.0,0.010387,-3.0224,0.0
2016-01-22,5114.653,5137.739,5000.925,5108.441,5053.645,1714977248,26583139840.0,0.008679,1.0843,0.0
2016-01-25,5144.886,5189.938,5110.687,5155.308,5108.441,1553256080,23958248192.0,0.007857,0.9174,0.0
2016-01-26,5108.846,5124.771,4838.01,4845.793,5155.308,2470230064,35085695232.0,0.012495,-6.0038,0.0
2016-01-27,4866.265,4883.172,4635.825,4815.016,4845.793,2550707072,34533461504.0,0.012901,-0.6351,0.0
2016-01-28,4775.37,4839.56,4686.254,4697.06,4815.016,1897411456,25532331520.0,0.009597,-2.4498,0.0
2016-01-29,4699.357,4889.312,4699.357,4856.581,4697.06,1929468752,26675930368.0,0.009759,3.3962,0.0
2016-02-01,4851.952,4887.962,4771.132,4821.146,4856.581,1691801264,23707888384.0,0.008557,-0.7296,0.0
2016-02-02,4821.223,4955.055,4821.224,4935.426,4821.146,1805659808,25018162944.0,0.009132,2.3704,0.0
2016-02-03,4885.443,4944.881,4851.731,4931.396,4935.426,1596744016,22776812032.0,0.008076,-0.0817,0.0
2016-02-04,4947.234,5017.041,4947.235,4994.119,4931.397,1907475872,27647048704.0,0.009647,1.2719,0.0
2016-02-05,4998.299,5006.708,4957.854,4960.509,4994.12,1496386144,21641093632.0,0.007568,-0.673,0.0
2016-02-15,4834.308,4966.107,4834.308,4940.007,4960.509,1466363744,21622721536.0,0.007416,-0.4133,0.0
2016-02-16,4964.185,5107.606,4964.186,5101.77,4940.008,2312841872,32554957056.0,0.011697,3.2745,0.0
2016-02-17,5093.214,5144.941,5066.97,5142.66,5101.771,2567000064,35870698496.0,0.012982,0.8015,0.0
2016-02-18,5167.745,5176.098,5106.381,5112.916,5142.66,2415123744,34550344960.0,0.012214,-0.5784,0.0
2016-02-19,5106.516,5144.756,5087.05,5123.801,5112.917,1983420400,28228274944.0,0.010031,0.2129,0.0
2016-02-22,5182.069,5216.421,5155.785,5212.626,5123.802,2597722000,37075326976.0,0.013137,1.7336,0.0
2016-02-23,5213.296,5218.883,5122.384,5175.075,5212.627,2396622656,34805209600.0,0.01212,-0.7204,0.0
2016-02-24,5164.724,5217.133,5123.981,5217.133,5175.076,2429996768,35156421888.0,0.012289,0.8127,0.0
2016-02-25,5209.542,5209.543,4858.25,4880.528,5217.133,3166745536,43867945728.0,0.016015,-6.4519,0.0
2016-02-26,4917.834,4948.176,4843.835,4919.911,4880.529,2262809376,29612651264.0,0.011445,0.8069,0.0
2016-02-29,4909.497,4909.498,4663.761,4735.233,4919.911,2240945552,29351643904.0,0.01133,-3.7537,0.0
2016-03-01,4739.682,4840.444,4696.44,4820.866,4735.234,1998381024,26543454464.0,0.010104,1.8084,0.0
2016-03-02,4819.622,5016.397,4819.457,5009.942,4820.866,2724168288,36306989312.0,0.013773,3.922,0.0
2016-03-03,4999.14,5063.607,4990.949,5028.336,5009.943,2887060400,39012913664.0,0.014597,0.3671,0.0
2016-03-04,5011.354,5037.506,4932.435,5018.401,5028.337,3152188800,45426959872.0,0.015937,-0.1976,0.0
2016-03-07,5044.04,5109.231,5016.511,5056.119,5018.402,2090937184,29081757440.0,0.010571,0.7516,0.0
2016-03-08,5043.321,5062.15,4890.757,5062.15,5056.119,2184859328,29166891776.0,0.011046,0.1193,0.0
2016-03-09,4978.594,5036.9,4949.255,5006.92,5062.15,1794778624,25218876416.0,0.009074,-1.091,0.0
2016-03-10,4995.999,5033.398,4949.138,4949.138,5006.921,1461473296,21141490176.0,0.007389,-1.1541,0.0
2016-03-11,4914.383,4971.519,4894.341,4939.58,4949.138,1167213776,16243547136.0,0.005901,-0.1931,0.0
2016-03-14,4984.254,5097.86,4981.934,5040.344,4939.581,2149553776,31945687040.0,0.010868,2.0399,0.0
2016-03-15,5032.221,5062.016,4995.176,5059.351,5040.344,1767472640,26161759744.0,0.008936,0.3771,0.0
2016-03-16,5059.747,5075.706,5014.454,5031.529,5059.352,1754598624,26217274624.0,0.008871,-0.5499,0.0
2016-03-17,5049.153,5152.833,5034.634,5127.729,5031.529,2332137136,34845323520.0,0.011791,1.9119,0.0
2016-03-18,5143.668,5271.866,5139.809,5230.529,5127.729,3940723856,56176030976.0,0.019923,2.0048,0.0
2016-03-21,5272.986,5333.002,5262.321,5323.383,5230.53,4248510592,59382843648.0,0.021471,1.7752,0.0
2016-03-22,5292.528,5354.592,5270.356,5313.431,5323.384,3067262560,45394753792.0,0.015502,-0.187,0.0
2016-03-23,5301.38,5340.429,5282.499,5331.287,5313.432,2595415536,38411998208.0,0.013117,0.336,0.0
2016-03-24,5304.476,5352.371,5268.407,5291.85,5331.287,3322350320,46636125184.0,0.016789,-0.7397,0.0
2016-03-25,5286.248,5342.066,5281.673,5331.721,5291.851,2653572224,35147661312.0,0.013409,0.7534,0.0
2016-03-28,5356.255,5413.389,5305.091,5319.976,5331.722,2702319008,41038887424.0,0.013645,-0.2203,0.0
2016-03-29,5315.662,5321.895,5203.904,5232.145,5319.977,2153444800,32358546944.0,0.010882,-1.651,0.0
2016-03-30,5272.723,5372.4,5272.723,5372.399,5232.146,2410543072,37803532544.0,0.012182,2.6806,0.0
2016-03-31,5402.568,5419.39,5368.181,5379.519,5372.4,2447885392,40555181312.0,0.012371,0.1325,0.0
2016-04-01,5372.94,5381.048,5274.361,5357.909,5379.519,2243213216,34342811136.0,0.011312,-0.4017,0.0
2016-04-05,5354.261,5457.114,5351.321,5450.912,5357.909,2763358880,41992945920.0,0.013935,1.7358,0.0
2016-04-06,5436.522,5482.272,5430.399,5473.98,5450.912,2732407184,39388529152.0,0.013739,0.4232,0.0
2016-04-07,5486.883,5494.466,5386.757,5388.464,5473.98,2669301296,39648992512.0,0.013421,-1.5622,0.0
2016-04-08,5355.616,5366.463,5295.525,5339.781,5388.465,2181567392,32257442304.0,0.010969,-0.9035,0.0
2016-04-11,5376.271,5437.663,5376.271,5419.852,5339.781,2563093168,43433394688.0,0.012887,1.4995,0.0
