date,open,high,low,close,adj_close,volume,dividend
2022-05-27,0.993,1.0,0.969,0.972,0.972,187779200,0.0
2022-05-30,0.975,0.996,0.966,0.991,0.991,102230400,0.0
2022-05-31,0.99,1.026,0.977,1.023,1.023,219277900,0.0
2022-06-01,1.02,1.042,1.015,1.035,1.035,105555500,0.0
2022-06-02,1.031,1.102,1.028,1.099,1.099,129457500,0.0
2022-06-06,1.11,1.147,1.096,1.135,1.135,106552900,0.0
2022-06-07,1.12,1.123,1.1,1.108,1.108,82656000,0.0
2022-06-08,1.113,1.121,1.089,1.108,1.108,58293400,0.0
2022-06-09,1.098,1.108,1.066,1.07,1.07,56599100,0.0
2022-06-10,1.058,1.087,1.058,1.084,1.084,48182200,0.0
2022-06-13,1.065,1.081,1.061,1.07,1.07,48045900,0.0
2022-06-14,1.057,1.059,1.024,1.05,1.05,45973200,0.0
2022-06-15,1.043,1.074,1.043,1.054,1.054,47515400,0.0
2022-06-16,1.065,1.078,1.056,1.06,1.06,47078000,0.0
2022-06-17,1.05,1.066,1.041,1.062,1.062,55217200,0.0
2022-06-20,1.062,1.075,1.051,1.052,1.052,46785500,0.0
2022-06-21,1.052,1.057,1.032,1.039,1.039,46993200,0.0
2022-06-22,1.049,1.049,1.007,1.007,1.007,54056300,0.0
2022-06-23,1.008,1.035,1.008,1.034,1.034,47009800,0.0
2022-06-24,1.031,1.051,1.031,1.041,1.041,39798800,0.0
2022-06-27,1.046,1.052,1.038,1.043,1.043,34771100,0.0
2022-06-28,1.036,1.055,1.022,1.054,1.054,47080400,0.0
2022-06-29,1.046,1.067,1.035,1.036,1.036,42375700,0.0
2022-06-30,1.046,1.059,1.035,1.05,1.05,45857600,0.0
2022-07-01,1.048,1.052,1.033,1.036,1.036,34425100,0.0
2022-07-04,1.034,1.034,1.004,1.012,1.012,43776800,0.0
2022-07-05,1.006,1.022,0.99,1.0,1.0,46025900,0.0
2022-07-06,0.993,1.036,0.993,1.018,1.018,47125200,0.0
2022-07-07,1.018,1.019,1.0,1.006,1.006,29053200,0.0
2022-07-08,1.006,1.028,1.006,1.013,1.013,50517300,0.0
2022-07-11,1.022,1.022,0.986,0.994,0.994,43732800,0.0
2022-07-12,0.997,0.997,0.963,0.964,0.964,43152900,0.0
2022-07-13,0.964,0.971,0.95,0.954,0.954,47527100,0.0
2022-07-14,0.951,0.971,0.951,0.962,0.962,42648300,0.0
2022-07-15,0.962,0.98,0.955,0.962,0.962,42748300,0.0
2022-07-18,0.963,0.97,0.951,0.964,0.964,39234000,0.0
2022-07-19,0.971,0.972,0.956,0.971,0.971,37073600,0.0
2022-07-20,0.972,0.986,0.972,0.98,0.98,39162200,0.0
2022-07-21,0.977,1.02,0.976,1.006,1.006,51082100,0.0
2022-07-22,1.012,1.014,0.984,0.988,0.988,42786400,0.0
2022-07-25,0.988,1.009,0.986,0.99,0.99,37988300,0.0
2022-07-26,0.988,0.994,0.977,0.991,0.991,40066700,0.0
2022-07-27,0.989,0.993,0.984,0.99,0.99,38892000,0.0
2022-07-28,1.0,1.017,0.998,1.013,1.013,45727600,0.0
2022-07-29,1.012,1.012,0.992,0.993,0.993,37105800,0.0
2022-08-01,0.993,1.012,0.974,1.01,1.01,39746700,0.0
2022-08-02,1.005,1.015,0.986,1.004,1.004,46524400,0.0
2022-08-03,1.006,1.057,1.003,1.031,1.031,48991400,0.0
2022-08-04,1.037,1.056,1.033,1.049,1.049,40665600,0.0
2022-08-05,1.05,1.121,1.05,1.121,1.121,62793500,0.0
2022-08-08,1.13,1.13,1.1,1.113,1.113,53565390,0.0
2022-08-09,1.104,1.117,1.084,1.116,1.116,53790000,0.0
2022-08-10,1.109,1.131,1.098,1.104,1.104,50950100,0.0
2022-08-11,1.105,1.131,1.105,1.126,1.126,46930200,0.0
2022-08-12,1.128,1.132,1.102,1.104,1.104,32356500,0.0
2022-08-15,1.096,1.103,1.087,1.089,1.089,40615800,0.0
2022-08-16,1.089,1.095,1.071,1.075,1.075,47456700,0.0
2022-08-17,1.075,1.079,1.064,1.076,1.076,48448200,0.0
2022-08-18,1.075,1.096,1.067,1.089,1.089,64969000,0.0
2022-08-19,1.096,1.108,1.063,1.063,1.063,50428100,0.0
2022-08-22,1.06,1.073,1.047,1.061,1.061,38230500,0.0
2022-08-23,1.05,1.062,1.049,1.052,1.052,38420600,0.0
2022-08-24,1.048,1.052,1.003,1.011,1.011,48350600,0.0
2022-08-25,1.011,1.011,0.983,0.996,0.996,52662500,0.0
2022-08-26,0.997,1.004,0.982,0.984,0.984,39294800,0.0
2022-08-29,0.963,0.992,0.963,0.985,0.985,40491200,0.0
2022-08-30,0.981,0.993,0.977,0.983,0.983,38252200,0.0
2022-08-31,0.983,0.991,0.97,0.975,0.975,43044200,0.0
2022-09-01,0.985,0.995,0.971,0.975,0.975,41275900,0.0
2022-09-02,0.982,0.992,0.973,0.985,0.985,30426200,0.0
2022-09-05,0.985,0.985,0.965,0.976,0.976,36837000,0.0
2022-09-06,0.976,0.979,0.966,0.974,0.974,34330100,0.0
2022-09-07,0.978,1.007,0.975,0.997,0.997,45783100,0.0
2022-09-08,0.996,0.997,0.986,0.987,0.987,33101900,0.0
2022-09-09,0.987,0.987,0.97,0.98,0.98,35767500,0.0
2022-09-13,0.983,1.002,0.98,0.985,0.985,33751700,0.0
2022-09-14,0.968,0.996,0.968,0.995,0.995,36604400,0.0
2022-09-15,0.992,1.0,0.967,0.975,0.975,45462300,0.0
2022-09-16,0.969,0.999,0.969,0.978,0.978,43782400,0.0
2022-09-19,0.982,0.984,0.952,0.957,0.957,47049600,0.0
2022-09-20,0.962,0.966,0.945,0.952,0.952,44671400,0.0
2022-09-21,0.948,0.948,0.931,0.934,0.934,41468200,0.0
2022-09-22,0.93,0.949,0.926,0.939,0.939,40199000,0.0
2022-09-23,0.935,0.941,0.914,0.919,0.919,50331500,0.0
2022-09-26,0.915,0.923,0.905,0.906,0.906,40342400,0.0
2022-09-27,0.908,0.93,0.908,0.929,0.929,41037400,0.0
2022-09-28,0.929,0.929,0.905,0.906,0.906,33453300,0.0
2022-09-29,0.913,0.924,0.905,0.91,0.91,38533400,0.0
2022-09-30,0.909,0.911,0.89,0.894,0.894,40696900,0.0
2022-10-10,0.894,0.894,0.834,0.834,0.834,47048600,0.0
2022-10-11,0.844,0.849,0.818,0.82,0.82,50552000,0.0
2022-10-12,0.82,0.866,0.811,0.865,0.865,53666100,0.0
2022-10-13,0.852,0.881,0.847,0.864,0.864,48011500,0.0
2022-10-14,0.874,0.888,0.87,0.885,0.885,41040100,0.0
2022-10-17,0.88,0.914,0.867,0.912,0.912,45779300,0.0
2022-10-18,0.923,0.923,0.896,0.901,0.901,42343800,0.0
2022-10-19,0.9,0.903,0.89,0.892,0.892,41108500,0.0
2022-10-20,0.884,0.947,0.884,0.932,0.932,57562300,0.0
2022-10-21,0.929,0.947,0.914,0.946,0.946,50515600,0.0
2022-10-24,0.945,0.969,0.935,0.945,0.945,50513390,0.0
2022-10-25,0.942,0.946,0.923,0.943,0.943,49062300,0.0
2022-10-26,0.933,0.973,0.919,0.969,0.969,53640900,0.0
2022-10-27,0.969,0.986,0.955,0.982,0.982,67111900,0.0
2022-10-28,0.965,0.986,0.959,0.963,0.963,53324200,0.0
2022-10-31,0.963,1.009,0.962,1.003,1.003,51040500,0.0
2022-11-01,1.004,1.011,0.983,0.996,0.996,54519000,0.0
2022-11-02,0.992,1.013,0.99,1.008,1.008,49610600,0.0
2022-11-03,1.001,1.027,1.0,1.024,1.024,45350000,0.0
2022-11-04,1.025,1.037,1.013,1.032,1.032,42985600,0.0
2022-11-07,1.025,1.043,1.014,1.016,1.016,48172100,0.0
2022-11-08,1.02,1.02,0.997,1.01,1.01,45611000,0.0
2022-11-09,1.006,1.018,0.997,1.004,1.004,40218900,0.0
2022-11-10,0.997,1.012,0.984,0.985,0.985,39855300,0.0
2022-11-11,1.013,1.023,0.991,0.992,0.992,41380700,0.0
2022-11-14,0.998,1.003,0.979,0.997,0.997,51523900,0.0
2022-11-15,0.994,1.045,0.993,1.041,1.041,53673300,0.0
2022-11-16,1.043,1.048,1.026,1.029,1.029,39262100,0.0
2022-11-17,1.017,1.058,1.005,1.058,1.058,93790300,0.0
2022-11-18,1.052,1.059,1.029,1.031,1.031,51064000,0.0
2022-11-21,1.019,1.031,1.014,1.027,1.027,48684300,0.0
2022-11-22,1.028,1.035,1.012,1.019,1.019,44476500,0.0
2022-11-23,1.015,1.021,0.99,1.01,1.01,65869000,0.0
2022-11-24,1.01,1.017,0.996,0.998,0.998,51582700,0.0
2022-11-25,0.992,1.013,0.986,0.987,0.987,44516700,0.0
2022-11-28,0.965,0.988,0.965,0.975,0.975,40305400,0.0
2022-11-29,0.979,0.994,0.971,0.989,0.989,49518800,0.0
2022-11-30,0.985,0.989,0.974,0.978,0.978,39147700,0.0
2022-12-01,0.99,1.012,0.99,1.002,1.002,51233900,0.0
2022-12-02,1.002,1.013,0.991,0.994,0.994,39992400,0.0
2022-12-05,0.998,1.011,0.998,1.006,1.006,42645500,0.0
2022-12-06,1.006,1.029,1.004,1.021,1.021,44225190,0.0
2022-12-07,1.014,1.019,1.008,1.011,1.011,34925800,0.0
2022-12-08,1.011,1.011,0.997,0.999,0.999,29959600,0.0
2022-12-09,0.999,1.011,0.996,1.007,1.007,30133400,0.0
2022-12-12,1.013,1.026,1.0,1.019,1.019,32397000,0.0
2022-12-13,1.017,1.018,1.004,1.004,1.004,27941300,0.0
2022-12-14,1.026,1.029,0.999,0.999,0.999,36716800,0.0
2022-12-15,0.993,1.018,0.993,1.007,1.007,32083500,0.0
2022-12-16,1.007,1.007,0.989,0.993,0.993,24147400,0.0
2022-12-19,0.987,0.997,0.967,0.969,0.969,25513200,0.0
2022-12-20,0.964,0.979,0.961,0.963,0.963,23253000,0.0
2022-12-21,0.963,0.968,0.945,0.949,0.949,23037900,0.0
2022-12-22,0.956,0.956,0.935,0.939,0.939,31017700,0.0
2022-12-23,0.937,0.939,0.922,0.931,0.931,25667300,0.0
2022-12-26,0.923,0.95,0.923,0.948,0.948,32010100,0.0
2022-12-27,0.945,0.962,0.944,0.96,0.96,23671700,0.0
2022-12-28,0.963,0.963,0.946,0.948,0.948,29013700,0.0
2022-12-29,0.944,0.963,0.94,0.953,0.953,19141000,0.0
2022-12-30,0.953,0.961,0.943,0.946,0.946,21813600,0.0
2023-01-03,0.946,0.974,0.943,0.973,0.973,24545800,0.0
2023-01-04,0.974,0.98,0.96,0.97,0.97,19592100,0.0
2023-01-05,0.971,0.977,0.961,0.975,0.975,21847000,0.0
2023-01-06,0.975,0.978,0.963,0.969,0.969,19554900,0.0
2023-01-09,0.966,0.98,0.96,0.966,0.966,27179000,0.0
2023-01-10,0.969,0.978,0.958,0.966,0.966,27947400,0.0
2023-01-11,0.965,0.975,0.951,0.953,0.953,20358100,0.0
2023-01-12,0.958,0.958,0.946,0.95,0.95,25596200,0.0
2023-01-13,0.952,0.953,0.945,0.953,0.953,18241900,0.0
2023-01-16,0.955,0.987,0.953,0.979,0.979,29865700,0.0
2023-01-17,0.979,1.0,0.973,0.998,0.998,31019700,0.0
2023-01-18,0.998,1.004,0.994,0.999,0.999,26743100,0.0
2023-01-19,0.995,1.029,0.995,1.028,1.028,38406100,0.0
2023-01-20,1.028,1.038,1.023,1.029,1.029,26153400,0.0
2023-01-30,1.04,1.055,1.029,1.03,1.03,35570600,0.0
2023-01-31,1.03,1.03,1.003,1.005,1.005,25597200,0.0
2023-02-01,1.009,1.029,1.006,1.029,1.029,22239900,0.0
2023-02-02,1.029,1.057,1.029,1.043,1.043,31993900,0.0
2023-02-03,1.048,1.057,1.032,1.055,1.055,48271700,0.0
2023-02-06,1.05,1.067,1.04,1.046,1.046,53557900,0.0
2023-02-07,1.039,1.048,1.035,1.045,1.045,37639700,0.0
2023-02-08,1.04,1.052,1.03,1.033,1.033,27907900,0.0
2023-02-09,1.024,1.07,1.024,1.069,1.069,38955300,0.0
2023-02-10,1.067,1.072,1.045,1.05,1.05,38113500,0.0
2023-02-13,1.05,1.067,1.045,1.057,1.057,21605900,0.0
2023-02-14,1.065,1.075,1.051,1.057,1.057,27719900,0.0
2023-02-15,1.052,1.072,1.049,1.07,1.07,28810700,0.0
2023-02-16,1.068,1.078,1.041,1.046,1.046,28693200,0.0
2023-02-17,1.04,1.044,1.014,1.016,1.016,27155000,0.0
2023-02-20,1.016,1.027,1.007,1.026,1.026,26869600,0.0
2023-02-21,1.026,1.033,1.013,1.019,1.019,24012700,0.0
2023-02-22,1.018,1.027,1.011,1.024,1.024,32022600,0.0
2023-02-23,1.023,1.028,1.017,1.021,1.021,20641400,0.0
2023-02-24,1.019,1.035,1.019,1.025,1.025,22874300,0.0
2023-02-27,1.026,1.028,1.01,1.013,1.013,26683300,0.0
2023-02-28,1.016,1.029,1.01,1.02,1.02,20410500,0.0
2023-03-01,1.02,1.039,1.017,1.035,1.035,26326400,0.0
2023-03-02,1.035,1.04,1.028,1.03,1.03,22895100,0.0
2023-03-03,1.034,1.052,1.031,1.045,1.045,28733700,0.0
2023-03-06,1.045,1.058,1.038,1.053,1.053,27057600,0.0
2023-03-07,1.053,1.058,1.029,1.031,1.031,27910100,0.0
2023-03-08,1.029,1.046,1.011,1.042,1.042,24035200,0.0
2023-03-09,1.042,1.06,1.041,1.054,1.054,37323100,0.0
2023-03-10,1.054,1.063,1.039,1.047,1.047,25714600,0.0
2023-03-13,1.045,1.063,1.043,1.062,1.062,32887100,0.0
2023-03-14,1.064,1.09,1.053,1.083,1.083,28578600,0.0
2023-03-15,1.083,1.102,1.072,1.075,1.075,25991500,0.0
2023-03-16,1.066,1.084,1.063,1.066,1.066,43907300,0.0
2023-03-17,1.073,1.118,1.073,1.106,1.106,38618000,0.0
2023-03-20,1.112,1.139,1.104,1.12,1.12,30880690,0.0
2023-03-21,1.12,1.127,1.108,1.122,1.122,28670700,0.0
2023-03-22,1.122,1.135,1.114,1.132,1.132,37902600,0.0
2023-03-23,1.133,1.177,1.128,1.176,1.176,28237700,0.0
2023-03-24,1.18,1.181,1.153,1.174,1.174,42853300,0.0
2023-03-27,1.166,1.19,1.145,1.168,1.168,33377800,0.0
2023-03-28,1.162,1.179,1.141,1.144,1.144,30666200,0.0
2023-03-29,1.141,1.21,1.137,1.194,1.194,39460000,0.0
2023-03-30,1.194,1.198,1.171,1.19,1.19,34269800,0.0
2023-03-31,1.185,1.212,1.171,1.211,1.211,27518600,0.0
2023-04-03,1.221,1.28,1.221,1.28,1.28,42079400,0.0
2023-04-04,1.278,1.321,1.26,1.29,1.29,51161000,0.0
2023-04-06,1.272,1.355,1.272,1.324,1.324,53816200,0.0
2023-04-07,1.325,1.348,1.309,1.347,1.347,37983100,0.0
2023-04-10,1.349,1.356,1.275,1.282,1.282,48493200,0.0
2023-04-11,1.281,1.3,1.255,1.275,1.275,39574600,0.0
2023-04-12,1.263,1.305,1.258,1.291,1.291,26742700,0.0
2023-04-13,1.283,1.287,1.244,1.248,1.248,31895700,0.0
2023-04-14,1.254,1.306,1.234,1.304,1.304,37109600,0.0
2023-04-17,1.305,1.322,1.293,1.305,1.305,29582500,0.0
2023-04-18,1.305,1.305,1.259,1.28,1.28,35593500,0.0
2023-04-19,1.276,1.322,1.276,1.298,1.298,30991700,0.0
2023-04-20,1.295,1.358,1.275,1.358,1.358,35408400,0.0
2023-04-21,1.363,1.368,1.278,1.281,1.281,40205900,0.0
2023-04-24,1.28,1.282,1.25,1.258,1.258,36657000,0.0
2023-04-25,1.258,1.283,1.233,1.248,1.248,35710100,0.0
2023-04-26,1.23,1.247,1.194,1.203,1.203,31383000,0.0
