date,open,high,low,close,adj_close,volume,dividend
2022-01-05,0.991,0.994,0.972,0.978,0.978,52274800,0.0
2022-01-06,0.977,0.985,0.972,0.981,0.981,1736900,0.0
2022-01-07,0.981,0.986,0.972,0.973,0.973,572300,0.0
2022-01-10,0.973,0.975,0.968,0.974,0.974,4104900,0.0
2022-01-11,0.974,0.979,0.965,0.967,0.967,272500,0.0
2022-01-12,0.967,0.977,0.967,0.972,0.972,520500,0.0
2022-01-13,0.972,0.973,0.959,0.959,0.959,324500,0.0
2022-01-14,0.954,0.959,0.951,0.952,0.952,3443900,0.0
2022-01-17,0.947,0.961,0.947,0.96,0.96,12514720,0.0
2022-01-18,0.96,0.968,0.96,0.965,0.965,2203180,0.0
2022-01-19,0.965,0.965,0.953,0.958,0.958,2944500,0.0
2022-01-20,0.96,0.961,0.951,0.953,0.953,367100,0.0
2022-01-21,0.954,0.954,0.943,0.949,0.949,497900,0.0
2022-01-24,0.943,0.949,0.94,0.945,0.945,16100,0.0
2022-01-25,0.939,0.939,0.917,0.917,0.917,15500,0.0
2022-01-26,0.923,0.925,0.914,0.924,0.924,230000,0.0
2022-01-27,0.919,0.921,0.901,0.901,0.901,735500,0.0
2022-01-28,0.901,0.91,0.891,0.905,0.905,2428800,0.0
2022-02-07,0.905,0.92,0.905,0.915,0.915,1839400,0.0
2022-02-08,0.91,0.917,0.902,0.917,0.917,478100,0.0
2022-02-09,0.92,0.923,0.916,0.923,0.923,1924900,0.0
2022-02-10,0.93,0.931,0.919,0.922,0.922,933700,0.0
2022-02-11,0.922,0.923,0.909,0.911,0.911,492800,0.0
2022-02-15,0.904,0.911,0.903,0.91,0.91,264300,0.0
2022-02-16,0.91,0.919,0.91,0.916,0.916,243200,0.0
2022-02-17,0.921,0.932,0.921,0.927,0.927,4040800,0.0
2022-02-18,0.918,0.929,0.918,0.929,0.929,11051400,0.0
2022-02-21,0.926,0.927,0.923,0.927,0.927,565000,0.0
2022-02-22,0.918,0.918,0.912,0.915,0.915,8900,0.0
2022-02-23,0.917,0.925,0.917,0.925,0.925,468300,0.0
2022-02-24,0.925,0.928,0.901,0.904,0.904,540200,0.0
2022-02-25,0.904,0.921,0.904,0.918,0.918,240200,0.0
2022-02-28,0.914,0.924,0.914,0.924,0.924,758600,0.0
2022-03-01,0.93,0.93,0.925,0.93,0.93,19400,0.0
2022-03-02,0.924,0.924,0.921,0.924,0.924,234900,0.0
2022-03-03,0.923,0.924,0.921,0.921,0.921,3300,0.0
2022-03-04,0.912,0.916,0.909,0.909,0.909,470800,0.0
2022-03-07,0.9,0.9,0.884,0.889,0.889,345200,0.0
2022-03-08,0.886,0.889,0.872,0.88,0.88,1075700,0.0
2022-03-09,0.872,0.88,0.837,0.865,0.865,1633100,0.0
2022-03-10,0.865,0.889,0.865,0.882,0.882,2742100,0.0
2022-03-11,0.874,0.877,0.859,0.877,0.877,1035900,0.0
2022-03-14,0.87,0.872,0.855,0.855,0.855,1211700,0.0
2022-03-15,0.847,0.847,0.807,0.807,0.807,4521500,0.0
2022-03-16,0.807,0.831,0.788,0.831,0.831,1810200,0.0
2022-03-17,0.836,0.856,0.836,0.846,0.846,1734300,0.0
2022-03-18,0.845,0.857,0.845,0.856,0.856,3260200,0.0
2022-03-21,0.848,0.848,0.838,0.845,0.845,1543100,0.0
2022-03-22,0.837,0.839,0.836,0.839,0.839,367500,0.0
2022-03-23,0.844,0.847,0.843,0.846,0.846,188900,0.0
2022-03-24,0.838,0.839,0.836,0.838,0.838,1288200,0.0
2022-03-25,0.836,0.836,0.824,0.824,0.824,780600,0.0
2022-03-28,0.816,0.824,0.814,0.819,0.819,1539700,0.0
2022-03-29,0.827,0.827,0.816,0.816,0.816,1779500,0.0
2022-03-30,0.824,0.834,0.824,0.834,0.834,1559000,0.0
2022-03-31,0.842,0.843,0.834,0.834,0.834,2124000,0.0
2022-04-01,0.828,0.836,0.828,0.836,0.836,1955700,0.0
2022-04-06,0.837,0.844,0.834,0.844,0.844,273500,0.0
2022-04-07,0.841,0.841,0.828,0.828,0.828,516100,0.0
2022-04-08,0.826,0.827,0.82,0.827,0.827,1540200,0.0
2022-04-11,0.822,0.823,0.808,0.808,0.808,869800,0.0
2022-04-12,0.806,0.816,0.8,0.816,0.816,1841700,0.0
2022-04-13,0.808,0.814,0.808,0.81,0.81,912100,0.0
2022-04-14,0.805,0.815,0.805,0.814,0.814,314900,0.0
2022-04-15,0.81,0.81,0.805,0.805,0.805,1335200,0.0
2022-04-18,0.806,0.809,0.806,0.808,0.808,85700,0.0
2022-04-19,0.81,0.813,0.806,0.807,0.807,835900,0.0
2022-04-20,0.804,0.804,0.794,0.794,0.794,15400,0.0
2022-04-21,0.792,0.792,0.773,0.773,0.773,554000,0.0
2022-04-22,0.766,0.77,0.764,0.77,0.77,1851200,0.0
2022-04-25,0.763,0.763,0.735,0.736,0.736,4406480,0.0
2022-04-26,0.733,0.743,0.723,0.723,0.723,1479900,0.0
2022-04-27,0.723,0.745,0.722,0.745,0.745,3067100,0.0
2022-04-28,0.743,0.75,0.738,0.744,0.744,1481300,0.0
2022-04-29,0.747,0.764,0.745,0.764,0.764,2785600,0.0
2022-05-05,0.764,0.771,0.763,0.768,0.768,2274400,0.0
2022-05-06,0.761,0.761,0.75,0.75,0.75,1190000,0.0
2022-05-09,0.75,0.761,0.75,0.757,0.757,1478200,0.0
2022-05-10,0.75,0.765,0.748,0.765,0.765,2269600,0.0
2022-05-11,0.772,0.786,0.772,0.774,0.774,1478000,0.0
2022-05-12,0.772,0.779,0.77,0.77,0.77,23700,0.0
2022-05-13,0.777,0.777,0.771,0.777,0.777,321600,0.0
2022-05-16,0.78,0.78,0.772,0.772,0.772,9200,0.0
2022-05-17,0.772,0.778,0.769,0.778,0.778,372000,0.0
2022-05-18,0.775,0.785,0.775,0.783,0.783,3197800,0.0
2022-05-19,0.776,0.788,0.776,0.788,0.788,1065100,0.0
2022-05-20,0.788,0.797,0.788,0.797,0.797,590400,0.0
2022-05-23,0.795,0.796,0.791,0.791,0.791,641400,0.0
2022-05-24,0.791,0.794,0.772,0.772,0.772,299500,0.0
2022-05-25,0.776,0.782,0.772,0.782,0.782,3502400,0.0
2022-05-26,0.779,0.788,0.777,0.784,0.784,3198300,0.0
2022-05-27,0.791,0.794,0.78,0.78,0.78,1500500,0.0
2022-05-30,0.787,0.793,0.787,0.793,0.793,295800,0.0
2022-05-31,0.79,0.8,0.79,0.8,0.8,30700,0.0
2022-06-01,0.8,0.803,0.797,0.803,0.803,29800,0.0
2022-06-02,0.801,0.805,0.795,0.805,0.805,434900,0.0
2022-06-06,0.803,0.815,0.803,0.815,0.815,7200,0.0
2022-06-07,0.82,0.82,0.808,0.81,0.81,339500,0.0
2022-06-08,0.813,0.818,0.806,0.814,0.814,4365000,0.0
2022-06-09,0.816,0.817,0.806,0.806,0.806,4593600,0.0
2022-06-10,0.801,0.814,0.801,0.812,0.812,344700,0.0
2022-06-13,0.81,0.813,0.802,0.804,0.804,3392400,0.0
2022-06-14,0.8,0.804,0.784,0.804,0.804,601100,0.0
2022-06-15,0.804,0.82,0.804,0.813,0.813,3163000,0.0
2022-06-16,0.811,0.815,0.806,0.811,0.811,7013300,0.0
2022-06-17,0.813,0.816,0.803,0.815,0.815,112600,0.0
2022-06-20,0.823,0.828,0.819,0.825,0.825,4583500,0.0
2022-06-21,0.825,0.825,0.812,0.821,0.821,8518900,0.0
2022-06-22,0.822,0.822,0.812,0.812,0.812,7052900,0.0
2022-06-23,0.812,0.819,0.807,0.818,0.818,5948000,0.0
2022-06-24,0.825,0.836,0.824,0.836,0.836,15549700,0.0
2022-06-27,0.841,0.845,0.838,0.839,0.839,16429600,0.0
2022-06-28,0.839,0.853,0.839,0.851,0.851,6239400,0.0
2022-06-29,0.846,0.856,0.839,0.839,0.839,1513500,0.0
2022-06-30,0.834,0.851,0.834,0.845,0.845,415400,0.0
2022-07-01,0.851,0.859,0.851,0.856,0.856,2817200,0.0
2022-07-04,0.856,0.865,0.854,0.865,0.865,1967200,0.0
2022-07-05,0.86,0.865,0.857,0.862,0.862,256800,0.0
2022-07-06,0.863,0.864,0.847,0.853,0.853,932300,0.0
2022-07-07,0.853,0.862,0.851,0.86,0.86,1658600,0.0
2022-07-08,0.863,0.863,0.855,0.855,0.855,572300,0.0
2022-07-11,0.847,0.851,0.84,0.845,0.845,2181200,0.0
2022-07-12,0.85,0.85,0.836,0.837,0.837,3168700,0.0
2022-07-13,0.832,0.853,0.832,0.853,0.853,1069300,0.0
2022-07-14,0.851,0.863,0.851,0.856,0.856,410500,0.0
2022-07-15,0.856,0.856,0.847,0.847,0.847,765200,0.0
2022-07-18,0.848,0.863,0.848,0.863,0.863,17800,0.0
2022-07-19,0.863,0.863,0.851,0.855,0.855,462400,0.0
2022-07-20,0.855,0.86,0.855,0.858,0.858,28038100,0.0
2022-07-21,0.856,0.858,0.853,0.853,0.853,2733100,0.0
2022-07-22,0.861,0.862,0.852,0.858,0.858,2599400,0.0
2022-07-25,0.856,0.856,0.842,0.845,0.845,1548800,0.0
2022-07-26,0.845,0.85,0.839,0.849,0.849,1224700,0.0
2022-07-27,0.853,0.855,0.85,0.853,0.853,3367900,0.0
2022-07-28,0.856,0.859,0.852,0.852,0.852,197500,0.0
2022-07-29,0.857,0.857,0.845,0.846,0.846,4243400,0.0
2022-08-01,0.841,0.849,0.836,0.849,0.849,204400,0.0
2022-08-02,0.841,0.841,0.815,0.825,0.825,2184700,0.0
2022-08-03,0.825,0.834,0.811,0.813,0.813,2067600,0.0
2022-08-04,0.819,0.822,0.812,0.82,0.82,1923500,0.0
2022-08-05,0.822,0.83,0.82,0.83,0.83,2417100,0.0
2022-08-08,0.825,0.833,0.825,0.833,0.833,1370100,0.0
2022-08-09,0.833,0.837,0.833,0.833,0.833,911600,0.0
2022-08-10,0.831,0.831,0.826,0.83,0.83,3156100,0.0
2022-08-11,0.833,0.841,0.833,0.841,0.841,154200,0.0
2022-08-12,0.84,0.843,0.84,0.841,0.841,756100,0.0
2022-08-15,0.841,0.843,0.84,0.842,0.842,2546100,0.0
2022-08-16,0.843,0.848,0.843,0.846,0.846,3331600,0.0
2022-08-17,0.846,0.85,0.845,0.849,0.849,11555000,0.0
2022-08-18,0.847,0.849,0.842,0.842,0.842,2490600,0.0
2022-08-19,0.843,0.844,0.838,0.84,0.84,2004500,0.0
2022-08-22,0.838,0.847,0.838,0.847,0.847,913900,0.0
2022-08-23,0.848,0.848,0.841,0.843,0.843,1707200,0.0
2022-08-24,0.838,0.846,0.822,0.822,0.822,1206700,0.0
2022-08-25,0.828,0.828,0.815,0.823,0.823,3492900,0.0
2022-08-26,0.827,0.832,0.821,0.822,0.822,1956000,0.0
2022-08-29,0.814,0.829,0.814,0.827,0.827,7132300,0.0
2022-08-30,0.828,0.828,0.822,0.823,0.823,1090000,0.0
2022-08-31,0.821,0.821,0.81,0.817,0.817,2978800,0.0
2022-09-01,0.812,0.813,0.806,0.806,0.806,2539800,0.0
2022-09-02,0.808,0.808,0.8,0.8,0.8,1611400,0.0
2022-09-05,0.803,0.806,0.802,0.804,0.804,1442200,0.0
2022-09-06,0.804,0.816,0.804,0.816,0.816,1184300,0.0
2022-09-07,0.812,0.821,0.812,0.82,0.82,1207200,0.0
2022-09-08,0.818,0.818,0.812,0.814,0.814,1340100,0.0
2022-09-09,0.813,0.815,0.811,0.815,0.815,1199900,0.0
2022-09-13,0.817,0.817,0.813,0.813,0.813,837600,0.0
2022-09-14,0.806,0.806,0.798,0.801,0.801,1567200,0.0
2022-09-15,0.806,0.806,0.782,0.786,0.786,3319600,0.0
2022-09-16,0.785,0.785,0.771,0.771,0.771,659000,0.0
2022-09-19,0.769,0.77,0.763,0.766,0.766,1467500,0.0
2022-09-20,0.771,0.775,0.769,0.77,0.77,1331900,0.0
2022-09-21,0.766,0.77,0.763,0.77,0.77,1053600,0.0
2022-09-22,0.763,0.768,0.762,0.764,0.764,1922200,0.0
2022-09-23,0.762,0.762,0.753,0.757,0.757,1866300,0.0
