date,open,high,low,close,adj_close,volume,dividend
2019-10-08,1.0,1.0,1.0,1.0,0.893536,0,0.0
2019-10-11,0.9724,0.9724,0.9724,0.9724,0.868874,0,0.0
2019-10-18,0.9534,0.9534,0.9534,0.9534,0.851897,0,0.0
2019-10-25,0.9566,0.9566,0.9566,0.9566,0.854757,0,0.0
2019-11-01,0.9631,0.9631,0.9631,0.9631,0.860565,0,0.0
2019-11-08,0.9664,0.9664,0.9664,0.9664,0.863513,0,0.0
2019-11-15,0.9449,0.9449,0.9449,0.9449,0.844302,0,0.0
2019-11-22,0.9411,0.9411,0.9411,0.9411,0.840907,0,0.0
2019-11-27,0.946,0.946,0.946,0.946,0.845285,0,0.0
2019-11-28,0.9424,0.9424,0.9424,0.9424,0.842068,0,0.0
2019-11-29,0.9365,0.9365,0.9365,0.9365,0.836797,0,0.0
2019-12-02,0.9382,0.9382,0.9382,0.9382,0.838316,0,0.0
2019-12-03,0.9417,0.9417,0.9417,0.9417,0.841443,0,0.0
2019-12-04,0.9424,0.9424,0.9424,0.9424,0.842068,0,0.0
2019-12-05,0.9492,0.9492,0.9492,0.9492,0.848144,0,0.0
2019-12-06,0.9552,0.9552,0.9552,0.9552,0.853506,0,0.0
2019-12-09,0.9544,0.9544,0.9544,0.9544,0.852791,0,0.0
2019-12-10,0.9569,0.9569,0.9569,0.9569,0.855025,0,0.0
2019-12-11,0.9561,0.9561,0.9561,0.9561,0.85431,0,0.0
2019-12-12,0.9533,0.9533,0.9533,0.9533,0.851808,0,0.0
2019-12-13,0.9701,0.9701,0.9701,0.9701,0.866819,0,0.0
2019-12-16,0.9768,0.9768,0.9768,0.9768,0.872806,0,0.0
2019-12-17,0.9907,0.9907,0.9907,0.9907,0.885226,0,0.0
2019-12-18,0.985,0.993,0.983,0.984,0.87924,132210350,0.0
2019-12-19,0.985,0.989,0.983,0.986,0.881027,317025998,0.0
2019-12-20,0.986,0.99,0.982,0.983,0.878346,161955714,0.0
2019-12-23,0.982,0.985,0.968,0.97,0.86673,39746050,0.0
2019-12-24,0.969,0.976,0.969,0.976,0.872091,101699585,0.0
2019-12-25,0.976,0.979,0.973,0.977,0.872985,100949268,0.0
2019-12-26,0.976,0.986,0.974,0.985,0.880133,34099734,0.0
2019-12-27,0.985,0.995,0.983,0.983,0.878346,38038024,0.0
2019-12-30,0.981,0.998,0.979,0.995,0.889068,99588504,0.0
2019-12-31,0.996,1.003,0.995,1.003,0.896217,131207974,0.0
2020-01-02,1.008,1.02,1.007,1.014,0.906046,177577165,0.0
2020-01-03,1.017,1.019,1.012,1.014,0.906046,68289946,0.0
2020-01-06,1.01,1.025,1.008,1.015,0.906939,94741400,0.0
2020-01-07,1.019,1.028,1.019,1.026,0.916768,78420746,0.0
2020-01-08,1.012,1.012,1.012,1.012,0.904258,60349131,0.0
2020-01-09,1.02,1.028,1.02,1.026,0.916768,60115103,0.0
2020-01-10,1.026,1.028,1.019,1.022,0.913194,41404730,0.0
2020-01-13,1.021,1.033,1.018,1.033,0.923023,77782501,0.0
2020-01-14,1.032,1.037,1.028,1.028,0.918555,76199391,0.0
2020-01-15,1.03,1.03,1.02,1.024,0.914981,39198070,0.0
2020-01-16,1.024,1.026,1.019,1.022,0.913194,56394106,0.0
2020-01-17,1.021,1.026,1.017,1.019,0.910513,44523212,0.0
2020-01-20,1.02,1.03,1.019,1.029,0.919449,50762696,0.0
2020-01-21,1.025,1.025,1.013,1.014,0.906046,127793947,0.0
2020-01-22,1.014,1.021,0.996,1.017,0.908726,36707973,0.0
2020-01-23,1.015,1.015,0.981,0.989,0.883707,41682478,0.0
2020-02-03,0.927,0.927,0.89,0.89,0.795247,27008279,0.0
2020-02-04,0.891,0.927,0.891,0.927,0.828308,522520102,0.0
2020-02-05,0.936,0.945,0.922,0.938,0.838137,14386810,0.0
2020-02-06,0.936,0.962,0.934,0.955,0.853327,10709944,0.0
2020-02-07,0.954,0.959,0.947,0.958,0.856008,11284091,0.0
2020-02-10,0.953,0.965,0.95,0.963,0.860475,17157388,0.0
2020-02-11,0.957,0.975,0.957,0.969,0.865836,9521295,0.0
2020-02-12,0.969,0.983,0.967,0.978,0.873878,75334551,0.0
2020-02-13,0.978,0.982,0.971,0.975,0.871198,16472220,0.0
2020-02-14,0.973,0.986,0.973,0.981,0.876559,15362948,0.0
2020-02-17,0.982,1.003,0.982,1.002,0.895323,22818443,0.0
2020-02-18,0.995,1.005,0.994,1.002,0.895323,33958317,0.0
2020-02-19,1.002,1.009,1.0,1.001,0.89443,62624710,0.0
2020-02-20,1.001,1.027,1.001,1.023,0.914087,75468202,0.0
2020-02-21,1.016,1.037,1.016,1.027,0.917662,70446278,0.0
2020-02-24,1.03,1.036,1.022,1.03,0.920342,49504373,0.0
2020-02-25,1.012,1.033,1.003,1.03,0.920342,126892396,0.0
2020-02-26,1.024,1.03,1.013,1.015,0.906939,83960440,0.0
2020-02-27,1.015,1.03,1.013,1.015,0.906939,48787321,0.0
2020-02-28,0.986,1.005,0.975,0.977,0.872985,141080148,0.0
2020-03-02,0.971,1.014,0.971,1.004,0.89711,50938411,0.0
2020-03-03,1.009,1.026,1.005,1.009,0.901578,92087031,0.0
2020-03-04,1.006,1.016,1.003,1.015,0.906939,50173952,0.0
2020-03-05,1.023,1.038,1.019,1.035,0.92481,214772640,0.0
2020-03-06,1.026,1.033,1.021,1.026,0.916768,67409888,0.0
2020-03-09,1.015,1.02,0.992,0.995,0.889068,45562643,0.0
2020-03-10,0.994,1.012,0.976,1.008,0.900684,34585323,0.0
2020-03-11,1.011,1.011,0.996,0.997,0.890855,23490261,0.0
2020-03-12,0.986,0.991,0.973,0.979,0.874772,30391300,0.0
2020-03-13,0.954,0.979,0.928,0.973,0.869411,41264141,0.0
2020-03-16,0.975,0.975,0.921,0.925,0.826521,29599200,0.0
2020-03-17,0.935,0.942,0.897,0.921,0.822947,133697000,0.0
2020-03-18,0.924,0.935,0.903,0.904,0.807757,25477400,0.0
2020-03-19,0.91,0.91,0.875,0.898,0.802395,44823753,0.0
2020-03-20,0.904,0.912,0.896,0.911,0.814011,54336447,0.0
2020-03-23,0.89,0.909,0.878,0.881,0.787205,22097100,0.0
2020-03-24,0.89,0.902,0.881,0.9,0.804182,23135581,0.0
2020-03-25,0.916,0.927,0.914,0.924,0.825627,27237055,0.0
2020-03-26,0.923,0.926,0.914,0.918,0.820266,11099500,0.0
2020-03-27,0.927,0.932,0.918,0.918,0.820266,26308079,0.0
2020-03-30,0.902,0.911,0.898,0.908,0.811331,24768099,0.0
2020-03-31,0.92,0.92,0.905,0.906,0.809544,16840400,0.0
2020-04-01,0.905,0.919,0.903,0.903,0.806863,25186479,0.0
2020-04-02,0.907,0.922,0.9,0.922,0.82384,21380600,0.0
2020-04-03,0.922,0.922,0.911,0.915,0.817586,12133021,0.0
2020-04-07,0.928,0.939,0.927,0.937,0.837243,15971500,0.0
2020-04-08,0.934,0.939,0.932,0.936,0.83635,25739371,0.0
2020-04-09,0.931,0.942,0.931,0.94,0.839924,5584479,0.0
2020-04-10,0.941,0.945,0.93,0.933,0.833669,27860392,0.0
2020-04-13,0.927,0.931,0.923,0.926,0.827414,17306327,0.0
2020-04-14,0.93,0.945,0.929,0.943,0.842605,30656200,0.0
2020-04-15,0.945,0.948,0.938,0.938,0.838137,14530700,0.0
2020-04-16,0.94,0.944,0.935,0.943,0.842605,23076798,0.0
2020-04-17,0.944,0.955,0.944,0.948,0.847072,23606879,0.0
2020-04-20,0.949,0.959,0.948,0.953,0.85154,10444100,0.0
2020-04-21,0.952,0.952,0.936,0.944,0.843498,7726936,0.0
2020-04-22,0.937,0.951,0.937,0.951,0.849753,11217499,0.0
2020-04-23,0.951,0.955,0.948,0.949,0.847966,11489200,0.0
2020-04-24,0.949,0.949,0.937,0.94,0.839924,8505500,0.0
2020-04-27,0.939,0.948,0.939,0.941,0.840817,9626291,0.0
2020-04-28,0.941,0.95,0.926,0.946,0.845285,19878700,0.0
2020-04-29,0.945,0.952,0.942,0.948,0.847072,18028168,0.0
2020-04-30,0.948,0.966,0.948,0.964,0.861369,19002416,0.0
2020-05-06,0.963,0.973,0.953,0.971,0.867624,14178341,0.0
2020-05-07,0.972,0.973,0.966,0.968,0.864943,27529617,0.0
2020-05-08,0.97,0.983,0.97,0.978,0.873878,64860789,0.0
2020-05-11,0.979,0.987,0.974,0.976,0.872091,47111495,0.0
2020-05-12,0.976,0.979,0.971,0.977,0.872985,71971560,0.0
2020-05-13,0.976,0.982,0.972,0.981,0.876559,62437580,0.0
2020-05-14,0.975,0.977,0.972,0.973,0.869411,30672800,0.0
2020-05-15,0.974,0.977,0.968,0.969,0.865836,46090816,0.0
2020-05-18,0.969,0.977,0.967,0.972,0.868517,47351878,0.0
2020-05-19,0.973,0.982,0.973,0.979,0.874772,34921977,0.0
2020-05-20,0.978,0.979,0.972,0.975,0.871198,36899200,0.0
2020-05-21,0.975,0.978,0.966,0.968,0.864943,16640066,0.0
